pair,coin,tier,rank,direction,start_time,peak_time,duration_h,magnitude,abs_magnitude,max_vol_z_48h,max_vol_z_24h,mean_vol_z_24h,n_spike_hours_24h,had_volume_spike,vol_ramp_24h,vol_ramp_12h,vol_ramp_6h,buy_ratio_24h,buy_ratio_delta,max_trades_z_24h,pre_ret_24h,rvol_pctl_pre,was_coiling,lead_time_h,silent_volume_spike,retrace_frac,hours_to_half_retrace,btc_ret_24h,start_hour_utc,start_dow
GRASS-USDT,GRASS,mid,132,pump,2026-05-23 13:00:00+00:00,2026-05-24 13:00:00+00:00,24,0.27348257558273703,0.27348257558273703,1.3059903809573292,1.161243126214183,0.38971116547169676,0,False,-0.039867202542771804,-0.045301655181666706,-0.06594580776939567,,,,-0.07773851590105996,97.9502196193265,False,,False,0.46413502109704613,,-0.035854897019239385,13,5
GRASS-USDT,GRASS,mid,132,pump,2026-05-25 14:00:00+00:00,2026-05-25 21:00:00+00:00,7,0.20609494041805032,0.20609494041805032,1.2440125245080949,0.9876107855060067,0.5598203132113126,0,False,0.015161915051272004,0.04170370954017791,0.1403400831957411,,,,-0.020556905251354896,70.27777777777777,False,,False,1.3336492890995264,20.0,0.007015681706117327,14,0
GRASS-USDT,GRASS,mid,132,pump,2026-05-29 05:00:00+00:00,2026-05-29 17:00:00+00:00,12,0.18362731795567622,0.18362731795567622,1.083542026591072,0.7611540226117227,0.10292159129165067,0,False,0.01502619759808188,0.041083080844739425,0.048213503020449584,,,,-0.06921637913115786,84.16666666666667,False,,False,0.9605911330049257,5.0,0.00445109757255735,5,4
GRASS-USDT,GRASS,mid,132,pump,2026-06-01 07:00:00+00:00,2026-06-01 23:00:00+00:00,16,0.13673102828917827,0.13673102828917827,1.2710452365413765,0.7218978506645467,-0.10620243765725634,0,False,0.013012820389284656,0.043611844939656294,-0.13534273892113574,,,,-0.0704891080969996,76.38888888888889,False,,False,2.0,6.0,-0.012411472736364115,7,0
GRASS-USDT,GRASS,mid,132,pump,2026-06-02 15:00:00+00:00,2026-06-03 14:00:00+00:00,23,0.17887261429205514,0.17887261429205514,1.0920514342141991,1.0920514342141991,0.24175806537792624,0,False,0.00883419376272751,0.05685797451814609,0.06102680678840288,,,,-0.04124790619765506,80.83333333333333,False,,False,2.0,3.0,-0.049583814868982445,15,1
GRASS-USDT,GRASS,mid,132,pump,2026-06-11 02:00:00+00:00,2026-06-12 00:00:00+00:00,22,0.14181286549707606,0.14181286549707606,0.9096095377035908,0.9096095377035908,-0.41246034565334816,0,False,0.0023420115832649946,-0.03028622394872396,-0.10231212965539523,,,,0.021376281112737816,51.80555555555556,False,,False,0.4432989690721655,,0.007972421168616517,2,3
GRASS-USDT,GRASS,mid,132,pump,2026-06-14 15:00:00+00:00,2026-06-15 15:00:00+00:00,24,0.27884615384615397,0.27884615384615397,0.17629222622464197,0.17629222622464197,-1.0163555071154453,0,False,-0.05745616843057526,-0.06751104149829719,-0.1507531638568293,,,,-0.04625439919557561,15.833333333333332,True,,False,0.8993476234855542,56.0,-0.003696923294680854,15,6
GRASS-USDT,GRASS,mid,132,pump,2026-06-17 00:00:00+00:00,2026-06-17 15:00:00+00:00,15,0.1140195208518191,0.1140195208518191,2.395845826696361,0.6613046781304436,-0.3664513209996283,0,True,-0.005515013640008844,-0.0005144585837618203,0.02223243948312533,,,,-0.029197080291970767,53.05555555555556,False,44.0,True,2.0,4.0,-0.009855908615179598,0,2
GRASS-USDT,GRASS,mid,132,pump,2026-06-21 23:00:00+00:00,2026-06-22 12:00:00+00:00,13,0.12361487318394482,0.12361487318394482,-0.0219539039647066,-0.0219539039647066,-1.4014266718577204,0,False,0.011623233413727365,0.11558308123949404,0.531972828642994,,,,0.004895960832313362,1.9444444444444444,True,,False,0.9003984063745019,6.0,-0.007319204736245255,23,6
GRASS-USDT,GRASS,mid,132,pump,2026-06-24 17:00:00+00:00,2026-06-25 05:00:00+00:00,12,0.17452380952380953,0.17452380952380953,1.3690973656900154,1.3690973656900154,0.012858031789212613,0,False,0.02398643877589841,0.188525709065659,0.17208071126411742,,,,0.01854857407836774,86.80555555555556,False,,False,0.8840381991814461,8.0,-0.04328782889478566,17,2
