pair,tier,time,vol_z,pnl,hours_held
DASHUSDT,mid,2026-04-11 01:00:00+00:00,3.54,-0.05500000000000004,27
EIGENUSDT,small,2025-01-10 10:00:00+00:00,7.18,-0.05500000000000004,3
EIGENUSDT,small,2025-01-16 05:00:00+00:00,3.08,0.0012874251497007093,36
EIGENUSDT,small,2025-01-19 09:00:00+00:00,3.77,-0.05499999999999993,2
EIGENUSDT,small,2025-05-08 18:00:00+00:00,3.11,0.11000000000000021,2
EIGENUSDT,small,2025-05-08 23:00:00+00:00,4.85,0.10999999999999999,8
EIGENUSDT,small,2025-05-09 09:00:00+00:00,4.08,-0.05500000000000015,7
EIGENUSDT,small,2025-05-09 17:00:00+00:00,3.21,0.10999999999999999,28
EIGENUSDT,small,2025-05-11 00:00:00+00:00,3.22,-0.05500000000000004,7
EIGENUSDT,small,2025-07-17 11:00:00+00:00,3.4,-0.05500000000000004,28
EIGENUSDT,small,2025-08-24 19:00:00+00:00,3.85,-0.05500000000000004,11
EIGENUSDT,small,2025-10-06 16:00:00+00:00,3.35,-0.05500000000000004,7
EIGENUSDT,small,2026-01-13 13:00:00+00:00,3.21,0.05315980629539941,36
EIGENUSDT,small,2026-01-19 08:00:00+00:00,3.26,-0.05500000000000004,32
EIGENUSDT,small,2026-02-06 00:00:00+00:00,3.31,0.10999999999999999,17
EIGENUSDT,small,2026-03-05 13:00:00+00:00,3.27,-0.05499999999999993,25
EIGENUSDT,small,2026-03-15 07:00:00+00:00,3.09,0.10999999999999999,27
EIGENUSDT,small,2026-04-20 07:00:00+00:00,3.23,-0.03984513274336287,36
EIGENUSDT,small,2026-05-05 22:00:00+00:00,4.98,0.06691489361702152,36
EIGENUSDT,small,2026-06-20 10:00:00+00:00,3.26,-0.05499999999999993,3
EIGENUSDT,small,2026-06-21 16:00:00+00:00,4.02,0.009999999999999901,36
ENAUSDT,mid,2025-05-09 05:00:00+00:00,3.25,0.08622716894977167,36
ENAUSDT,mid,2025-05-11 01:00:00+00:00,3.05,-0.05500000000000004,6
ENAUSDT,mid,2025-05-13 19:00:00+00:00,3.28,-0.05500000000000004,13
ENAUSDT,mid,2025-07-20 19:00:00+00:00,3.01,0.10999999999999999,19
ENAUSDT,mid,2025-07-21 16:00:00+00:00,3.13,-0.05500000000000015,4
ENAUSDT,mid,2026-01-05 07:00:00+00:00,3.35,-0.008262642740619938,36
ENAUSDT,mid,2026-01-07 12:00:00+00:00,3.18,-0.05500000000000004,19
ENAUSDT,mid,2026-01-14 06:00:00+00:00,3.28,-0.05500000000000004,7
ENAUSDT,mid,2026-01-30 01:00:00+00:00,3.09,-0.05500000000000004,31
ENAUSDT,mid,2026-02-07 16:00:00+00:00,4.14,-0.05500000000000004,29
ENAUSDT,mid,2026-02-20 07:00:00+00:00,3.19,-0.016775362318840577,36
ENAUSDT,mid,2026-03-26 03:00:00+00:00,3.49,-0.05500000000000004,6
ENAUSDT,mid,2026-05-06 13:00:00+00:00,3.56,-0.023211920529801363,36
ENAUSDT,mid,2026-06-03 09:00:00+00:00,3.62,0.10999999999999999,8
FETUSDT,mid,2025-03-09 23:00:00+00:00,3.36,-0.05499999999999993,18
FETUSDT,mid,2025-04-13 19:00:00+00:00,3.56,-0.05500000000000004,11
FETUSDT,mid,2025-04-20 11:00:00+00:00,3.17,0.05472555746140662,36
FETUSDT,mid,2025-04-22 02:00:00+00:00,3.66,0.05000000000000016,36
FETUSDT,mid,2025-05-23 05:00:00+00:00,3.16,-0.05500000000000004,7
FETUSDT,mid,2025-07-11 06:00:00+00:00,3.12,-0.05500000000000004,16
FETUSDT,mid,2025-09-08 05:00:00+00:00,3.01,-0.011201550387596956,36
FETUSDT,mid,2025-09-17 18:00:00+00:00,3.52,0.03888714733542321,36
FETUSDT,mid,2025-09-30 17:00:00+00:00,4.04,0.07788321167883205,36
FETUSDT,mid,2025-10-10 07:00:00+00:00,3.32,-0.05500000000000004,13
FETUSDT,mid,2025-10-11 07:00:00+00:00,3.0,0.010000000000000123,13
FETUSDT,mid,2025-10-14 10:00:00+00:00,3.61,-0.05500000000000004,9
FETUSDT,mid,2025-11-07 10:00:00+00:00,3.22,0.10999999999999999,4
FETUSDT,mid,2025-11-08 07:00:00+00:00,3.18,0.010000000000000123,8
FETUSDT,mid,2026-01-04 08:00:00+00:00,3.46,0.10999999999999976,19
FETUSDT,mid,2026-01-05 07:00:00+00:00,3.58,0.041604101494612584,36
FETUSDT,mid,2026-03-11 05:00:00+00:00,3.63,0.03948742746615109,36
FETUSDT,mid,2026-03-13 04:00:00+00:00,3.53,-0.05500000000000004,3
FETUSDT,mid,2026-03-15 16:00:00+00:00,3.5,0.10999999999999999,20
FETUSDT,mid,2026-03-16 21:00:00+00:00,4.07,-0.05500000000000004,6
FETUSDT,mid,2026-05-26 00:00:00+00:00,3.15,0.069934497816594,36
FETUSDT,mid,2026-05-30 15:00:00+00:00,3.13,-0.05500000000000015,26
FILUSDT,mid,2025-01-13 09:00:00+00:00,3.19,0.07215937241948789,36
FILUSDT,mid,2025-04-02 20:00:00+00:00,3.11,-0.05500000000000015,2
FILUSDT,mid,2025-04-20 16:00:00+00:00,3.05,-0.05062453253552723,36
FILUSDT,mid,2025-04-23 16:00:00+00:00,3.06,0.022456647398844013,36
FILUSDT,mid,2025-05-09 08:00:00+00:00,4.08,0.04328504828504832,36
FILUSDT,mid,2025-07-11 04:00:00+00:00,3.0,-0.05500000000000015,33
FILUSDT,mid,2025-07-18 10:00:00+00:00,3.48,-0.05500000000000004,10
FILUSDT,mid,2025-07-20 17:00:00+00:00,3.45,-0.041032944406314324,36
FILUSDT,mid,2025-07-30 19:00:00+00:00,3.61,-0.05500000000000004,29
FILUSDT,mid,2025-08-01 08:00:00+00:00,3.47,-0.027795698924731323,36
FILUSDT,mid,2025-08-22 23:00:00+00:00,3.03,-0.05499999999999993,31
FILUSDT,mid,2025-08-24 20:00:00+00:00,3.2,-0.05500000000000004,10
FILUSDT,mid,2025-10-11 01:00:00+00:00,6.63,0.009999999999999901,19
FILUSDT,mid,2025-10-29 18:00:00+00:00,3.54,-0.05500000000000015,10
FILUSDT,mid,2025-11-07 06:00:00+00:00,3.74,0.009999999999999901,5
FILUSDT,mid,2025-11-07 23:00:00+00:00,3.12,-0.05500000000000004,1
FILUSDT,mid,2025-11-08 06:00:00+00:00,3.39,0.10999999999999999,2
FILUSDT,mid,2026-01-23 11:00:00+00:00,3.08,-0.006518602885345444,36
FILUSDT,mid,2026-02-07 16:00:00+00:00,3.72,-0.05500000000000004,24
FILUSDT,mid,2026-03-11 04:00:00+00:00,3.75,-0.003839907192575316,36
FILUSDT,mid,2026-04-16 07:00:00+00:00,3.38,0.017403258655804502,36
FILUSDT,mid,2026-04-29 18:00:00+00:00,3.29,0.03199551569506721,36
FILUSDT,mid,2026-05-06 08:00:00+00:00,5.41,-0.05500000000000015,6
FILUSDT,mid,2026-05-07 00:00:00+00:00,4.43,0.00328729281767937,36
INJUSDT,mid,2025-07-11 09:00:00+00:00,3.15,-0.05500000000000004,13
INJUSDT,mid,2025-08-24 19:00:00+00:00,3.4,-0.05500000000000004,11
INJUSDT,mid,2025-10-13 13:00:00+00:00,3.76,-0.05500000000000004,17
INJUSDT,mid,2025-11-08 00:00:00+00:00,3.99,0.010000000000000123,14
INJUSDT,mid,2026-01-03 08:00:00+00:00,3.3,0.05354560394412478,36
INJUSDT,mid,2026-02-02 03:00:00+00:00,3.12,0.03549148282602633,36
INJUSDT,mid,2026-02-06 00:00:00+00:00,3.92,0.10999999999999999,17
INJUSDT,mid,2026-02-19 05:00:00+00:00,3.79,-0.05500000000000004,3
INJUSDT,mid,2026-02-19 12:00:00+00:00,3.09,-0.05500000000000004,4
INJUSDT,mid,2026-04-15 22:00:00+00:00,3.6,0.023676021964612496,36
INJUSDT,mid,2026-04-27 03:00:00+00:00,3.0,-0.05500000000000004,7
INJUSDT,mid,2026-05-11 22:00:00+00:00,3.78,0.10999999999999999,32
INJUSDT,mid,2026-05-13 18:00:00+00:00,3.22,-0.05500000000000015,2
INJUSDT,mid,2026-05-13 23:00:00+00:00,3.15,-0.01665954139137182,36
