pair,time,pnl,period,strategy
SYNUSDT,2025-03-04 00:00:00+00:00,-0.40417695473251025,2025-H1,B_control
SYNUSDT,2025-04-24 19:00:00+00:00,0.028284564740307275,2025-H1,B_control
SYNUSDT,2025-05-05 01:00:00+00:00,0.11361680739847213,2025-H1,B_control
SYNUSDT,2025-06-08 09:00:00+00:00,-0.17475308641975307,2025-H1,B_control
SYNUSDT,2025-07-05 12:00:00+00:00,0.41882588774341334,2025-H2,B_control
SYNUSDT,2025-07-16 20:00:00+00:00,0.17556618209640373,2025-H2,B_control
SYNUSDT,2025-08-18 20:00:00+00:00,-0.05997771173848431,2025-H2,B_control
SYNUSDT,2025-08-26 17:00:00+00:00,-0.08599924299772899,2025-H2,B_control
SYNUSDT,2025-09-12 12:00:00+00:00,0.01539215686274498,2025-H2,B_control
SYNUSDT,2025-09-23 05:00:00+00:00,0.024837251356238602,2025-H2,B_control
SYNUSDT,2025-10-19 21:00:00+00:00,-0.015869565217391243,2025-H2,B_control
SYNUSDT,2025-11-23 12:00:00+00:00,0.008490725126475532,2025-H2,B_control
SYNUSDT,2025-12-09 19:00:00+00:00,-0.1460048622366289,2025-H2,B_control
SYNUSDT,2026-01-04 10:00:00+00:00,0.10134648370497434,2026-H1,B_control
SYNUSDT,2026-02-19 01:00:00+00:00,0.024288702928870202,2026-H1,B_control
SYNUSDT,2026-03-17 05:00:00+00:00,0.015202020202020109,2026-H1,B_control
SYNUSDT,2026-03-24 13:00:00+00:00,-0.0914197530864197,2026-H1,B_control
SYNUSDT,2026-04-10 19:00:00+00:00,0.0895378151260503,2026-H1,B_control
SYNUSDT,2026-05-25 00:00:00+00:00,0.03337471783295721,2026-H1,B_control
SYNUSDT,2026-07-01 15:00:00+00:00,-0.13893604913350655,2026-H2,B_control
TAOUSDT,2024-05-26 07:00:00+00:00,-0.07158795749704838,2024-H1,B_control
TAOUSDT,2024-06-07 06:00:00+00:00,-0.24688235294117655,2024-H1,B_control
TAOUSDT,2024-06-19 02:00:00+00:00,-0.02876910016977929,2024-H1,B_control
TAOUSDT,2024-06-26 19:00:00+00:00,-0.1872064056939502,2024-H1,B_control
TAOUSDT,2024-07-08 02:00:00+00:00,0.3225620028076742,2024-H2,B_control
TAOUSDT,2024-07-29 04:00:00+00:00,-0.45280459435882514,2024-H2,B_control
TAOUSDT,2024-08-26 02:00:00+00:00,-0.24143632210165622,2024-H2,B_control
TAOUSDT,2024-09-29 00:00:00+00:00,0.040023255813953613,2024-H2,B_control
TAOUSDT,2024-10-09 22:00:00+00:00,0.022169149868536468,2024-H2,B_control
TAOUSDT,2024-10-21 11:00:00+00:00,-0.09982609448001378,2024-H2,B_control
TAOUSDT,2024-11-16 10:00:00+00:00,-0.01031511009870911,2024-H2,B_control
TAOUSDT,2024-11-27 11:00:00+00:00,0.20943551205872069,2024-H2,B_control
TAOUSDT,2024-12-04 13:00:00+00:00,-0.1393586767266396,2024-H2,B_control
TAOUSDT,2024-12-27 23:00:00+00:00,0.17325159914712163,2024-H2,B_control
TAOUSDT,2025-01-31 11:00:00+00:00,-0.2801619870410367,2025-H1,B_control
TAOUSDT,2025-02-18 01:00:00+00:00,0.10158914728682167,2025-H1,B_control
TAOUSDT,2025-02-28 04:00:00+00:00,-0.08778580814717474,2025-H1,B_control
TAOUSDT,2025-03-16 13:00:00+00:00,0.03692355117139335,2025-H1,B_control
TAOUSDT,2025-03-30 20:00:00+00:00,-0.1997368421052632,2025-H1,B_control
TAOUSDT,2025-04-20 01:00:00+00:00,0.1414069845533915,2025-H1,B_control
TAOUSDT,2025-05-18 21:00:00+00:00,0.024683698296836924,2025-H1,B_control
TAOUSDT,2025-06-28 05:00:00+00:00,-0.005309885342423155,2025-H1,B_control
TAOUSDT,2025-07-13 09:00:00+00:00,0.09489674754775435,2025-H2,B_control
TAOUSDT,2025-07-24 04:00:00+00:00,-0.10918143160878813,2025-H2,B_control
TAOUSDT,2025-08-01 10:00:00+00:00,0.06187806284231779,2025-H2,B_control
TAOUSDT,2025-08-27 15:00:00+00:00,-0.036769596199524905,2025-H2,B_control
TAOUSDT,2025-09-18 00:00:00+00:00,-0.1405648535564854,2025-H2,B_control
TAOUSDT,2025-10-07 09:00:00+00:00,0.22258820127241175,2025-H2,B_control
TAOUSDT,2025-10-15 02:00:00+00:00,-0.14069518716577545,2025-H2,B_control
TAOUSDT,2025-11-01 10:00:00+00:00,-0.27566234014124824,2025-H2,B_control
TAOUSDT,2025-12-03 02:00:00+00:00,0.07734872896527023,2025-H2,B_control
TAOUSDT,2025-12-24 11:00:00+00:00,0.06370229007633588,2025-H2,B_control
TAOUSDT,2026-01-07 10:00:00+00:00,0.059562410329985556,2026-H1,B_control
TAOUSDT,2026-01-29 18:00:00+00:00,-0.22999999999999998,2026-H1,B_control
TAOUSDT,2026-02-20 07:00:00+00:00,0.06979861910241658,2026-H1,B_control
TAOUSDT,2026-03-08 16:00:00+00:00,0.561951566951567,2026-H1,B_control
TAOUSDT,2026-03-19 14:00:00+00:00,0.38870713997579676,2026-H1,B_control
TAOUSDT,2026-04-07 16:00:00+00:00,-0.23265273311897106,2026-H1,B_control
TAOUSDT,2026-04-26 17:00:00+00:00,0.1580434782608694,2026-H1,B_control
TAOUSDT,2026-05-12 16:00:00+00:00,-0.1559990173599739,2026-H1,B_control
TAOUSDT,2026-05-20 19:00:00+00:00,-0.010456529647144382,2026-H1,B_control
TAOUSDT,2026-06-09 10:00:00+00:00,0.23397911832946627,2026-H1,B_control
TRXUSDT,2023-08-07 02:00:00+00:00,-0.004611298263798798,2023-H2,B_control
TRXUSDT,2023-08-30 23:00:00+00:00,0.03877148902406769,2023-H2,B_control
TRXUSDT,2023-09-08 21:00:00+00:00,0.055886075949367016,2023-H2,B_control
TRXUSDT,2023-09-16 20:00:00+00:00,-0.0006850053937431612,2023-H2,B_control
TRXUSDT,2023-10-11 22:00:00+00:00,0.030983749274521192,2023-H2,B_control
TRXUSDT,2023-10-27 03:00:00+00:00,0.0540953046094338,2023-H2,B_control
TRXUSDT,2023-11-14 06:00:00+00:00,-0.05222638680659663,2023-H2,B_control
TRXUSDT,2023-12-04 23:00:00+00:00,-0.005096302003081639,2023-H2,B_control
