pair,time,absorb,pnl,hours_held,variant
DOTUSDT,2024-07-07 12:00:00+00:00,80.9,0.003829959514170202,168,A_ladder
DOTUSDT,2024-09-14 05:00:00+00:00,80.3,-0.018438356164383607,168,A_ladder
DOTUSDT,2024-09-24 09:00:00+00:00,81.9,0.0357992957746478,168,A_ladder
DOTUSDT,2024-10-15 16:00:00+00:00,81.4,-0.031165724621297852,168,A_ladder
DOTUSDT,2024-10-31 00:00:00+00:00,81.7,-0.02177603049797483,168,A_ladder
DOTUSDT,2024-11-10 15:00:00+00:00,86.0,0.11299999999999999,153,A_ladder
DOTUSDT,2024-11-20 09:00:00+00:00,81.3,0.11299999999999999,64,A_ladder
DOTUSDT,2024-11-23 07:00:00+00:00,82.0,0.11299999999999999,8,A_ladder
DOTUSDT,2024-11-23 19:00:00+00:00,81.9,0.11299999999999999,5,A_ladder
DOTUSDT,2024-11-25 22:00:00+00:00,83.5,0.11299999999999999,167,A_ladder
DOTUSDT,2024-12-05 01:00:00+00:00,80.7,-0.013544845515448321,168,A_ladder
DOTUSDT,2025-05-08 13:00:00+00:00,80.8,0.11299999999999999,28,A_ladder
DOTUSDT,2025-05-09 18:00:00+00:00,83.1,0.04355439111297432,168,A_ladder
DOTUSDT,2025-06-11 22:00:00+00:00,80.1,-0.12942980561555073,168,A_ladder
DOTUSDT,2025-07-09 22:00:00+00:00,80.9,0.11299999999999999,163,A_ladder
DOTUSDT,2025-07-18 09:00:00+00:00,82.4,-0.09734517652349906,168,A_ladder
DOTUSDT,2025-08-05 10:00:00+00:00,80.8,0.0627282608695654,168,A_ladder
DOTUSDT,2025-12-29 15:00:00+00:00,80.9,0.11299999999999999,102,A_ladder
DOTUSDT,2026-02-25 15:00:00+00:00,81.4,0.11299999999999999,6,A_ladder
DOTUSDT,2026-03-17 23:00:00+00:00,82.3,-0.1371851851851852,168,A_ladder
DOTUSDT,2026-04-16 05:00:00+00:00,85.2,0.047319286871960964,168,A_ladder
DOTUSDT,2026-05-08 15:00:00+00:00,80.3,-0.03952759381898452,168,A_ladder
DOTUSDT,2026-06-17 04:00:00+00:00,80.4,-0.12067704280155644,168,A_ladder
EIGENUSDT,2024-12-10 08:00:00+00:00,81.0,0.11299999999999999,156,A_ladder
EIGENUSDT,2025-06-03 08:00:00+00:00,80.3,-0.00860066006600657,168,A_ladder
EIGENUSDT,2025-06-16 13:00:00+00:00,80.0,-0.20352091254752847,168,A_ladder
