pair,tier,time,vol_z,pnl,win,hours_held,rsi14,bbw_pctl,dist_30d_high,dist_30d_low,obv_chg_pctl,macd_rel,atr_pctl,vwap7_dist,ret_7d,ret_24h,spike_hours_24h,buy_ratio,hour_utc,dow,btc_ret_24h
EIGENUSDT,small,2026-05-05 22:00:00+00:00,4.98,0.06991489361702152,True,36,56.10838221157636,89.30555555555556,-0.09484833895040923,0.2450331125827816,99.86111111111111,0.004004252808870945,100.0,-0.013260881813362158,0.04502501389660929,0.0639501980758348,4.0,0.37159815978684063,22.0,1.0,0.01430291392248395
EIGENUSDT,small,2026-06-21 16:00:00+00:00,4.02,0.012665218964893256,True,36,57.971081757957855,86.52777777777779,-0.017425320056899007,0.7883495145631068,1.25,0.0014039307626403322,99.30555555555556,0.1395412357296919,0.3954545454545453,0.08183241973375077,3.0,0.4987004165911292,16.0,6.0,0.0009968821715198306
ENAUSDT,mid,2024-05-23 21:00:00+00:00,4.1,0.04069662921348316,True,36,59.248462350239784,37.638888888888886,-0.09276248725790004,0.35053110773899854,60.416666666666664,0.003259731682770721,99.58333333333333,0.10433766959350166,0.32243684992570576,0.037296037296037365,4.0,0.5204856189148158,21.0,3.0,-0.023604155467274013
ENAUSDT,mid,2024-11-15 17:00:00+00:00,4.1,0.05743244690344462,True,36,53.19798785934262,45.0,-0.1358729179518815,0.7389819987585351,71.38888888888889,0.0012412439712361479,91.80555555555556,-0.02389520422833291,0.14886200533114624,0.018727272727272704,1.0,0.5002665784082289,17.0,4.0,0.0019919659912839283
ENAUSDT,mid,2025-07-21 18:00:00+00:00,4.29,-0.10893695369164946,False,36,64.17650272188854,93.05555555555556,-0.020404445254144865,1.3572994300745287,0.5555555555555556,0.00487535528984255,99.86111111111111,0.21904827623975232,0.6007740398928252,0.06919864784251328,8.0,0.5215796124278336,18.0,0.0,-0.001447821527251314
ENAUSDT,mid,2026-02-07 16:00:00+00:00,4.14,-0.04006502775574927,False,36,56.85537095028876,56.111111111111114,-0.4925553319919518,0.12891674127126218,100.0,0.0004261019468688803,43.888888888888886,-0.014520674183100324,-0.08357558139534893,-0.010980392156862862,2.0,0.486632685501483,16.0,5.0,0.007657447614606738
FETUSDT,mid,2023-08-01 05:00:00+00:00,4.46,0.014312407315867583,True,36,29.882079703554908,79.35578330893118,-0.1882022471910112,0.003970223325062028,61.6519174041298,-0.0031503069984642265,43.83164005805516,-0.03934837184025841,-0.03804089396100796,-0.03941120607787274,3.0,0.5889489582546338,5.0,1.0,-0.018296830363215943
FETUSDT,mid,2023-08-13 22:00:00+00:00,4.42,0.043102040816326515,True,36,79.45141713211416,100.0,-0.1239333604225924,0.12174817898022905,99.86111111111111,0.0074944328800138175,80.83333333333333,0.060289141507815946,0.095528455284553,0.07424015944195328,4.0,0.5226629868996467,22.0,6.0,-0.0017057943297466016
FETUSDT,mid,2023-10-16 13:00:00+00:00,4.47,-0.03820122237893753,False,36,44.28009226228372,56.94444444444444,-0.10630252100840332,0.06137724550898205,18.75,0.00028532274687521604,72.91666666666666,0.018267785992570174,0.021613832853025983,0.004249291784702569,2.0,0.4999738867389555,13.0,0.0,0.03911783752525322
FETUSDT,mid,2024-02-16 06:00:00+00:00,4.13,0.07466666666666666,True,36,63.59240536661605,89.16666666666667,-0.008763108748743198,0.3356562137049943,37.916666666666664,0.006914753198292742,96.52777777777779,0.06982526335723183,0.2094653812445222,0.02938982545129032,6.0,0.5109317975683842,6.0,4.0,0.0020925535350719837
FETUSDT,mid,2024-02-20 00:00:00+00:00,4.3,0.0702361546499477,True,36,60.67948631726263,92.22222222222223,-0.02277136730317575,0.8524970963995355,83.47222222222223,0.0014045569570546184,100.0,0.21837864852704958,0.43070713111077863,0.14268656716417905,17.0,0.5789393581007004,0.0,1.0,-0.0069611856456185395
FETUSDT,mid,2024-11-06 08:00:00+00:00,4.15,0.038352164343360196,True,36,76.80895644407386,99.72222222222223,-0.12177835051546393,0.24474885844748862,94.16666666666667,0.006001560197143739,97.63888888888889,0.09699808841220614,0.049268668206312594,0.16895368782161246,6.0,0.4206942659356726,8.0,2.0,0.06498244621918392
FETUSDT,mid,2025-04-21 19:00:00+00:00,4.18,0.022115755627009737,True,36,55.57854781259442,63.61111111111111,-0.03863987635239574,0.7976878612716765,29.444444444444446,-0.003991596564370046,100.0,0.1570903038696978,0.24899598393574296,0.0264026402640265,9.0,0.722781050311318,19.0,0.0,0.02611217745369987
FETUSDT,mid,2025-09-30 17:00:00+00:00,4.04,0.08088321167883206,True,36,24.605046864627596,71.38888888888889,-0.21377331420373014,0.0,3.888888888888889,-0.0018092216159928604,47.083333333333336,-0.04106020802836696,-0.07275803722504215,-0.04195804195804176,1.0,0.4597120263176798,17.0,1.0,-0.0069078288756592165
FETUSDT,mid,2026-01-05 08:00:00+00:00,4.2,0.059951219512195175,True,36,72.48541862521402,99.16666666666667,-0.016449623029472282,0.49090909090909074,98.05555555555556,0.002888998148423753,99.86111111111111,0.20694429973876005,0.3165137614678899,0.15912762520193868,12.0,0.515206393109703,8.0,0.0,0.010800922081894981
